1	85.71	100	95.24
2	80	100	97.14
3	50	100	85.84
4	75	100	97.95
5	0	100	81.5
6	12.5	100	86.98
7	42.86	100	95.24
8	100	100	100
9	60	100	96.29
10	38.46	100	84.7
11	37.5	100	76.15
12	75	100	98.75
13	0	100	95.64
14	0	100	92.1
15	75	100	98.21
16	33.33	100	91.18
17	100	100	100
18	0	100	81.48
19	0	100	78.85
20	80	100	98.89
21	0	100	94.46
22	76.92	100	98.23
23	100	100	100
24	76.92	100	94.04
25	75	100	97.73
26	0	100	87.53
27	40	100	95.17
28	77.78	100	97.91
29	0	100	91.09
30	50	100	91.39
31	12.5	100	93
32	0	100	76.47
33	0	100	85.35
