1	1	12	6.666666667
2	0	6	3
3	4	1243	220
4	1	108	21.875
5	0	77	10.11764706
6	3	263	54
7	2	49	10.625
8	2	47	12.83333333
9	1	60	12.76470588
10	3	130	29
11	9	53	19.8
12	0	122	22.77777778
13	2	144	22.76923077
14	0	38	11
15	0	14	5.266666667
16	3	149	50.75
17	15	15	15
18	0	82	18.91666667
19	3	182	35.75
20	1	39	7.7
21	0	23	8.357142857
22	1	802	65
23	2	7	4.4
24	4	286	70.45454545
25	1	55	20.42857143
26	0	102	14.08333333
27	0	174	34.45454545
28	1	106	15.56521739
29	1	138	42
30	0	121	13.5625
31	0	166	18.18518519
32	0	73	14.75
33	2	112	31.08333333
