1	0.00	1.00	0.67
2	0.00	6.00	2.43
3	0.00	18.00	4.38
4	0.00	10.00	1.60
5	0.00	10.00	1.50
6	0.00	96.00	11.19
7	0.00	6.00	1.33
8	1.00	3.00	1.50
9	0.00	22.00	2.12
10	0.00	96.00	10.56
11	0.00	13.00	4.83
12	0.00	62.00	4.70
13	0.00	4.00	1.63
14	0.00	15.00	1.67
15	0.00	3.00	1.05
16	0.00	115.00	30.09
17	0.00	15.00	5.33
18	0.00	48.00	5.87
19	0.00	3.00	0.92
20	0.00	3.00	0.83
21	0.00	15.00	1.95
22	0.00	767.00	37.07
23	0.00	2.00	0.83
24	0.00	97.00	14.36
25	0.00	10.00	1.91
26	0.00	9.00	1.72
27	0.00	112.00	8.10
28	0.00	105.00	5.59
29	0.00	79.00	11.57
30	0.00	29.00	3.27
31	0.00	41.00	4.11
32	0.00	20.00	2.73
33	0.00	18.00	3.50
