1 0	12	4.333333333
2 0	6	2.428571429
3 0	18	4.75
4 0	60	6.2
5 0	29	3.25
6 0	96	12.66666667
7 0	6	1.75
8 1	24	5.5
9 0	49	5.76
10 1	96	12.9375
11 0	13	5.166666667
12 0	62	4.7
13 0	26	3.125
14 0	15	2.666666667
15 0	7	1.476190476
16 0	115	29.63636364
17 0	15	5.333333333
18 0	40	6.466666667
19 0	4	1.230769231
20 0	4	1.5
21 0	19	2.631578947
22 0	767	43.57142857
23 0	2	0.8333333333
24 0	97	15.85714286
25 0	10	2.090909091
26 0	21	2.75862069
27 0	112	8.6
28 0	105	7.216216216
29 0	91	15.08695652
30 0	31	3.933333333
31 0	41	4.75
32 0	20	3
33 0	19	4.5
